pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"HD 180053 b",697.31902,13.300,1.630000,,,20.34112,-20.34112,"Radial Velocity","W. M. Keck Observatory",0,137.0430000
"HD 18015 b",1010.69940,13.100,2.470000,,,73.10090,-73.10090,"Radial Velocity","W. M. Keck Observatory",0,123.8010000
"HD 181234 b",2660.23710,12.600,7.310000,,,108.06220,-114.41880,"Radial Velocity","La Silla Observatory",0,47.7458000
"Kepler-6 b",212.31044,14.617,0.400000,0.202,-0.370,12.07754,-11.12405,"Transit","Kepler",0,587.0390000
"Kepler-491 b",59.00000,8.920,0.457000,0.800,-0.510,,,"Transit","Kepler",0,630.7850000
"HD 181342 b",807.28820,13.200,1.930000,,,60.38770,-60.38770,"Radial Velocity","W. M. Keck Observatory",0,120.3910000
"HD 181433 b",6.35660,2.400,2.530000,,,0.00000,0.00000,"Radial Velocity","La Silla Observatory",0,26.8762000
"HD 183263 b",1255.42850,13.000,3.140000,,,69.92260,-69.92260,"Radial Velocity","W. M. Keck Observatory",0,54.1955000
"HD 187123 c",632.46000,13.400,1.440000,,,79.45000,-79.45000,"Radial Velocity","W. M. Keck Observatory",0,45.9548000
"HD 72892 b",1732.17350,12.800,4.540000,,,117.59710,-117.59710,"Radial Velocity","Multiple Observatories",0,69.7311000
"HD 202772 A b",323.23311,17.318,0.343000,0.583,-0.673,22.24810,-21.61244,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,161.4980000
"HD 203030 b",7656.09700,12.000,24.300000,,,2662.99100,-3661.61200,"Imaging","Palomar Observatory",0,39.2503000
"HD 205739 b",435.41000,13.600,0.951000,,,22.25000,-28.60000,"Radial Velocity","Las Campanas Observatory",0,92.5087000
"HD 20794 c",2.40000,1.350,5.360000,,,0.40000,-0.40000,"Radial Velocity","La Silla Observatory",0,6.0027800
"HD 20868 b",397.28750,13.700,0.849000,,,187.51970,-187.51970,"Radial Velocity","La Silla Observatory",0,47.7223000
"HD 211810 b",212.94610,14.000,0.426000,,,139.84520,-139.84520,"Radial Velocity","W. M. Keck Observatory",0,64.6353000
"Kepler-32 c",158.90000,2.000,,0.200,-0.200,,,"Transit","Kepler",0,323.8470000
"Kepler-165 c",5.60000,2.230,2.770000,1.350,-1.350,,,"Transit","Kepler",0,560.8850000
